,Title,Maker,Identification_Numbers,Categories,Entities,Acquisition_and_Important_Dates,Description,Dating,School_or_Style,Materials_Used_in_Production,Website
88,NA,Potter: Unknown,Accession number: OC.158-1946|Primary reference Number: 77591|Stable URI,Fritware (stonepaste),Bowl|Islamic pottery|Minai,"Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Fritware painted in five colours in or on a white glaze and gilded Buff fritware, wheel thrown, coated in an opaque white, crazed glaze with slip to create relief effect. Painted in the glaze in blue, turquoise and purple and red, black with gold leaf gilding over the glaze.
Shape: hemispherical bowl on a low, wide foot ring
Interior: the rim is gilded with small regular relief bosses. On the neck, a frieze containing blue Arabic script interspersed with turquoise leaves and red dots all separated by blue roundels containing wavey lines. In the roundel, a horseman wearing a turquoise tunic, with a quiver and arrows hanging from his belt, rides a blue horse with red ears and hooves; all of which are outlined in black with red and gold highlights and discreet areas of relief. In the background, scrolling vegetation, on which birds are perched, is depicted in relief with gilding and red outlines.
Exterior: on the rim a frieze of gilded diamonds on a turquoise background are outlined in red. On the body, lobbed diamond cartouches contain a turquoise dot that is frequently gilded and outlined in red. Glaze runs over the foot ring unevenly with turquoise colouration on the extremity, the underside of the foot ring is coloured turquoise.",Late 12th or early 13th century|Circa 1175 CE - Circa 1220 CE,Seljuk,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/77591
89,NA,Production: Unknown,Accession number: OC.100-1946|Primary reference Number: 77496|Oscar Raphael: 93|Stable URI,Porcelain,Vase|baluster vase,"Method of acquisition: Bequeathed (1941) by Raphael, Oscar C.","Porcelain baluster vase, divided by grooves into six sections, each decorated with panels containing birds and flowers. There are six panels of clouds on the shoulder. On the neck are another six panels, of plants. All painted in blue under the glaze, on a white ground.",Yuan Dynasty|14th Century|1300 - 1368,NA,Ground colour|Glaze|Porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/77496
90,NA,Production: Unidentified Rouen pottery,Accession number: C.2288 & A-1928|Primary reference Number: 73311|Old object numberf: 1200|Stable URI,Tin-glazed earthenware|Faïence,Sugar caster,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware sugar caster, painted in red and blue.",Second quarter of 18th century|Circa 1720 CE - 1740 CE,Baroque,Painting|Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73311
91,NA,Production: Belfast Pothouse (Probably),Accession number: C.1661 & A-1928|Primary reference Number: 72403|Old object number: 4079|Stable URI,Tin-glazed earthenware,Two-handled cup|Cover,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue, yellowish-green, and yellow Buff earthenware, tin-glazed and painted in blue, yellowish-green, and yellow. The deep-sided cup stands on a low domed foot, and has a wide band of gadrooning round its lower part and a narrow band a short distance below the rim. It has two scroll handles which are flat on the inside and curved on the outside, and have applied spiny reptiles with open mouths at the top. The slightly domed cover has a central pillar with a globular pierced knob and two arching handles similar to those on the pot. The top of the pot is decorated with a horizontal border of flowers and foliage, below which are larger floral arrangements. The lower gadroons are decorated with small plants outlined in alternating colours. The foot is decorated with geometric or formal plant motifs, and there are scrolls down the sides of the handles. The cover is decorated en suite, has an inscription in blue 'B/R*M/1712'.",NA,NA,Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72403
92,NA,"Production: Herrmann, Christen",Accession number: C.1898-1928|Primary reference Number: 72825|Old object number: 3040|Stable URI,Lead-glazed earthenware|Swiss slipware,Plate,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware coated in cream slip, with incised decoration painted in green, yellow and brown under lead-glaze: floral motifs and a circular inscription",1720s|Production date: dated AD 1729,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72825
93,NA,Production: Lambeth (Probably),Accession number: C.1460 & A-1928|Primary reference Number: 72035|Old object number: 1354|Stable URI,Tin-glazed earthenware|English delftware,Tea canister|Cover|tea caddy,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Buff earthenware, tin-glazed and painted in blue, green, yellow, and red; pewter cover. Square in section with tall sides, narrow shoulded and threaded pewter neck attached to the body to take the cylindrical pewter cover. The sides are decorated with birds amidst flowering plants.",Early 18th Century|Queen Anne|Circa 1700 CE - 1710 CE,NA,buff Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72035
94,NA,Pottery: unidentified London pottery (Probably)|Pottery: Brislington Pottery (Possibly)|Pottery: Unidentified Bristol pottery (Possibly),Accession number: C.1660-1928|Primary reference Number: 72402|Old object number: 4053|Stable URI,Tin-glazed earthenware|English delftware,Salt,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware and painted in blue, green, and red with stylized floral sprays Buff earthenware tin-glazed and painted in blue, green, and red. Circular with a conical foot supporting a circular bowl with a sloping rim. Three scrolls rise from the rim to support a plate. The top of the foot is decorated with stylized floral sprays, and has a narrow blue line above and below them and a wider band at its junction with the bowl. The top has a floral spray in the centre, surrounded by two concentric blue circles, plant motifs on the rim, and blue stripes on the scrolls.",1720s|George I|George II|Circa 1720 CE - 1730 CE,NA,buff Earthenware|Tin-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/72402
95,NA,Production: unidentified Langnau pottery,Accession number: C.1892-1928|Primary reference Number: 72819|Old object number: 3677|Stable URI,Lead-glazed earthenware|Swiss slipware,Oil lamp|lamp,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Buff earthenware, marbled with white and dark brown clay over a red slip, and coated with yellow lead-glaze. the lamp has a spreading circular base, rising into a short stem at the top of which is a cup-shaped receptacle pinched into a lip in front, and having inside it a nozzle open along the top for a wick; a loop handle is attached to the opposite side, and curves downwards to meet a flat projection around the stem.",Early 19th Century|Circa 1800 CE - 1830 CE,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72819
96,NA,Pottery: Lambeth Pottery (Possibly)|Pottery: Rotherhithe Pottery (Possibly),Accession number: C.1441-1928|Primary reference Number: 72007|Old object number: 3970|Stable URI,Tin-glazed earthenware|English delftware,Puzzle jug|jug,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue and dark manganese-purple Reddish-buff earthenware, pierced with holes, covered with bluish tin-glaze, painted in blue and dark manganese-purple. The jug stands on a slightly domed circular foot. It has a bulbous body flattened on both sides on each of which is a domed and perforated projection resembling a wheel. The narrow neck and three rows of pierced holes, and round the mouth there are three spouts projecting from a tube which connects to the hollow handle. This has a hole on the underside near the top, and at the bottom has a hole which leads into the body. Inside there is a two-headed bird. The foot of the jug is encircled by Chinese ju-i motifs, the body is decorated with flowers, leave and insects, and on the shoulder has the initials and date 'P/NM/1686'. The back of the handle is decorated with Chinese scrolls.",Late 17th Century|James II|Production date: dated AD 1686,NA,Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72007
97,Tile with dragon design,"Maker: William De Morgan & Co.|Designer: De Morgan, William Frend|Production: De Morgan, William Frend",Accession number: C.144-1933|Primary reference Number: 72008|Stable URI,Earthenware|Art Pottery,Tile,"Method of acquisition: Bequeathed (1933) by Le Strange, Guy","Square buff earthenware tile with a bas relief dragon design, covered with white slip, painted under-glaze in shades of green and blue, and clear glazed. The dragon is covered in green scales; it has a long, curling yellow tongue, sharp red teeth and a large, yellow and blue, beady eye. Its head is turned back, such that the design fills the square surface; the background is covered with stylised, scrolling foliage. Three sides of the tile have been smoothed, and none of the sides is glazed.",Late 19th Century|Circa 1872 CE - 1881 CE,Arts and Crafts (movement),Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72008
98,NA,"Potter: Ogata, Kenzan (1663-1743)|Potter: Ogata, Korin (1658 -1716)",Accession number: C.263-1934|Primary reference Number: 73828|Old number: BJ.94|Stable URI,Stoneware,Ember pot|Japanese pottery,"Method of acquisition: Bought (1934-09-20) by Brangwyn, Frank","Hexagonal brown stoneware pot, slab-built with lifted base. Winter landscape decoration continues round all six sides, comprising temple by a lake, house, gazebo, trees, clouds and waves, in subdued colours; cream, blue, brown, black. Black rim. Cloud decoration continues inside.",17th or 18th Century|Edo Period (1615-1868)|1658 - 1743,NA,Stoneware,https://data.fitzmuseum.cam.ac.uk/id/object/73828
99,NA,Potter: Unknown,Accession number: C.125-1935|Primary reference Number: 71670|Old accession number: 4-1935|Old object number: G.ADD 59|Old number: BR.29|Stable URI,Fritware (stonepaste),Jar|Islamic pottery|Lustre ware,"Method of acquisition: Bought (1935) by Brangwyn, Frank","Fritware, mould made, coated in a white glaze painted in lustre|Shape: cylindrical jar with lobbed body, straight neck and a bead rim. Sits on a thick, wide foot ring.|Exterior: rim is painted with lustre. On the neck a hunt scene of running quadrupeds, including hares and dogs, is reserved on a lustred ground that also contains fleshy palmettes. On the body lozenge or rectangular shape moulded lobes are filled with a geometrical pattern of seated figures, birds or palmettes, all of which are reserved in lustre; these alternate with arabesques painted in lustre. Spandrels around the palmettes and on the shoulder are filled with lustre scrolls.|Interior: lustre paint continues on the rim. The remainder of the vessel is covered with a blue glaze that is painted with a pseudo inscription in lustre on the neck.",Late 12th Century|Circa 1170 CE - Circa 1200 CE,Seljuk,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/71670
100,NA,Production: Unidentified Manises pottery,Accession number: EC.26-1945|Primary reference Number: 76923|Stable URI,Tin-glazed earthenware|Spanish lustreware,Pharmacy jar|albarello,Method of acquisition: Bought (1945-07-20) by The Leverton Harris Fund,"Tin-glazed earthenware pharmacy jar of albarello form, painted in blue and copper lustre Pale red earthenware tin-glazed creamy-white, and painted in dark cobalt-blue, and copper lustre. Of albarello form with slightly waisted sides, sloping shoulder, and everted mouth, standing on an everted foot. Decorated with with two horizontal blue stripes with cusps of lustre above and below to which are attached palmettes of alternating colours, and with lustred stems of fern-like leaves in the spaces. Round the neck is a blue band with blue trefoil leaves branching from it, and lustred fern-like leaves and scroll in the spaces.",Renaissance|Circa 1435 CE - 1470 CE,Hispano-Moresque,Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/76923
